recipe_id,Title,Cuisine,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
1,Cheesy Amish Breakfast Casserole,Amish and Mennonite,10 mins,55 mins,1 hr 15 mins,12,314.0,23g,12g,22g
2,Best Vinegar Coleslaw,Amish and Mennonite,15 mins,5 mins,20 mins,8,224.0,9g,35g,2g
3,Pennsylvania-Dutch Pickled Beets and Eggs,Amish and Mennonite,15 mins,30 mins,2 days 45 mins,8,252.0,5g,45g,7g
4,Amish Macaroni Salad,Amish and Mennonite,15 mins,10 mins,1 hr 25 mins,6,532.0,25g,66g,9g
5,Amish Friendship Bread Starter,Amish and Mennonite,30 mins,,10 days 40 mins,120,34.0,0g,8g,1g
6,My Amish Friend's Caramel Corn,Amish and Mennonite,20 mins,1 hr 10 mins,1 hr 30 mins,30,238.0,16g,22g,3g
7,Pennsylvania Dutch Corn Pie,Amish and Mennonite,30 mins,55 mins,1 hr 25 mins,8,423.0,19g,57g,10g
8,Amish Peanut Butter,Amish and Mennonite,5 mins,,5 mins,24,74.0,3g,12g,1g
9,Amish Meatloaf,Amish and Mennonite,15 mins,1 hr,1 hr 15 mins,8,464.0,21g,46g,24g
10,Amish Potato Salad,Amish and Mennonite,30 mins,20 mins,50 mins,8,497.0,31g,49g,9g
11,Amish Friendship Bread,Amish and Mennonite,10 mins,50 mins,1 hr,16,119.0,6g,16g,2g
12,Amish Buttered Egg Noodles,Amish and Mennonite,5 mins,15 mins,50 mins,6,260.0,7g,41g,9g
13,Amish Sugar Cakes,Amish and Mennonite,15 mins,12 mins,30 mins,30,186.0,8g,27g,2g
14,Amish Casserole,Amish and Mennonite,20 mins,35 mins,55 mins,6,630.0,30g,57g,33g
15,Herman Sourdough Starter,Amish and Mennonite,30 mins,,6 days 22 hrs 40 mins,8,382.0,2g,82g,9g
16,Ground Cherry Pie II,Amish and Mennonite,15 mins,40 mins,55 mins,8,214.0,8g,34g,2g
17,Portzelky (New Year's Cookies),Amish and Mennonite,15 mins,20 mins,2 hrs 5 mins,48,72.0,2g,12g,2g
18,Amish Peach Dumplings,Amish and Mennonite,15 mins,30 mins,45 mins,8,190.0,2g,41g,3g
19,Amish Bread,Amish and Mennonite,5 mins,55 mins,5 hrs,12,58.0,5g,4g,0g
